,0
262,-28.0
263,-28.0
264,-28.0
265,-28.0
266,-28.0
267,-28.0
268,-28.0
269,-28.0
270,-28.0
271,-28.0
272,-28.0
273,-28.0
274,-28.0
275,-56.0
276,-28.0
277,-28.0
278,-28.0
279,-28.0
280,-28.0
281,-28.0
282,-28.0
283,-28.0
284,-28.0
285,-28.0
286,-28.0
287,0.0
288,-28.0
289,-28.0
290,-28.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,27.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,27.0
313,27.0
314,27.0
315,27.0
316,27.0
317,27.0
318,27.0
319,27.0
320,27.0
321,27.0
322,55.0
323,27.0
324,27.0
325,27.0
326,0.0
327,27.0
328,27.0
329,27.0
330,27.0
331,27.0
332,27.0
333,27.0
334,27.0
335,55.0
336,27.0
337,27.0
338,27.0
339,27.0
340,0.0
341,0.0
342,27.0
343,27.0
344,27.0
345,0.0
346,0.0
347,0.0
348,27.0
349,27.0
350,27.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,27.0
361,27.0
362,0.0
363,27.0
364,27.0
365,27.0
366,27.0
367,27.0
368,27.0
369,27.0
370,27.0
371,27.0
372,27.0
373,27.0
374,27.0
375,27.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,-28.0
394,-28.0
395,-28.0
396,-28.0
397,-28.0
398,0.0
399,0.0
400,-28.0
401,-28.0
402,-28.0
403,-28.0
404,-28.0
405,-28.0
406,-28.0
407,0.0
408,-28.0
409,-28.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,27.0
425,27.0
426,27.0
427,27.0
428,27.0
429,27.0
430,27.0
431,27.0
432,55.0
433,55.0
434,55.0
435,55.0
436,55.0
437,27.0
438,27.0
439,27.0
440,27.0
441,0.0
442,27.0
443,55.0
444,55.0
445,55.0
446,55.0
447,55.0
448,55.0
449,55.0
450,55.0
451,55.0
452,55.0
453,55.0
454,55.0
455,55.0
456,55.0
457,55.0
458,55.0
459,55.0
460,55.0
461,55.0
462,55.0
463,82.0
464,82.0
465,82.0
466,82.0
467,82.0
468,55.0
469,82.0
470,82.0
